代碼,ETF名稱,折溢價
0050,元大台灣50,0.28
00631L,元大台灣50正2,0.18
0052,富邦科技,-0.02
00675L,富邦臺灣加權正2,0.09
00670L,富邦NASDAQ正2,1.80
006208,富邦台50,0.02
00757,統一FANG+,0.52
00662,富邦NASDAQ,0.94
0056,元大高股息,0.15
00770,國泰北美科技,0.97
00830,國泰費城半導體,1.29
00692,富邦公司治理,0.00
00713,元大台灣高息低波,0.10
00646,元大S&P500,0.68
00733,富邦臺灣中小,-0.05
00850,元大臺灣ESG永續,0.22
00701,國泰股利精選30,-0.29
00635U,期元大S&P黃金,-1.13
00633L,富邦上証正2,-0.11
